node_id,mae_baseline,mae_csp,mae_delta,mae_improve_rate,mse_baseline,mse_csp,mse_delta,mse_improve_rate
857,0.28909028,0.25749815,0.03159213,0.1092812,0.22843504,0.21475263,0.01368241,0.059896283
863,0.2882159,0.2580411,0.030174792,0.1046951,0.25670028,0.24235535,0.014344931,0.05588202
792,0.29598105,0.26615474,0.029826313,0.100771025,0.24447206,0.2315887,0.01288335,0.05269866
861,0.31549782,0.28860816,0.026889652,0.08522928,0.2931233,0.27554882,0.01757449,0.05995596
787,0.30639988,0.28238466,0.024015218,0.07837868,0.26161206,0.24725746,0.0143546015,0.0548698
605,0.2921532,0.269942,0.022211224,0.07602595,0.2488425,0.23676893,0.012073562,0.04851889
432,0.30088195,0.2788921,0.021989852,0.07308465,0.21797018,0.20474146,0.0132287145,0.060690477
927,0.27534348,0.25351062,0.021832854,0.079293154,0.22367258,0.21265958,0.011013001,0.049237154
757,0.2887622,0.26808816,0.02067405,0.071595415,0.22911823,0.22013353,0.0089847,0.039214253
786,0.3069521,0.2873335,0.0196186,0.06391421,0.2507062,0.23655973,0.014146462,0.056426454
93,0.28232187,0.26271075,0.01961112,0.06946369,0.22847626,0.21661149,0.0118647665,0.051929977
824,0.29330537,0.27392197,0.0193834,0.066086076,0.25991568,0.24662566,0.013290018,0.051132035
501,0.2791702,0.26057225,0.01859793,0.066618614,0.22266412,0.21303667,0.0096274465,0.04323753
831,0.2783062,0.2597174,0.018588781,0.066792555,0.27671084,0.2632013,0.013509542,0.048821874
987,0.29118502,0.273507,0.017678022,0.060710616,0.23812933,0.22746472,0.010664612,0.04478496
153,0.3310724,0.31352836,0.017544031,0.052991524,0.28620252,0.27234036,0.013862163,0.048434805
428,0.411045,0.39389622,0.017148793,0.041719988,0.3287851,0.31352782,0.015257269,0.04640499
933,0.27752548,0.2604087,0.017116785,0.061676443,0.26355273,0.24994378,0.013608947,0.05163653
849,0.31551597,0.29855826,0.0169577,0.053745933,0.2510846,0.23814502,0.012939572,0.051534712
482,0.28878322,0.27228397,0.016499251,0.05713369,0.25652337,0.24513528,0.011388093,0.04439398
783,0.41389355,0.39756995,0.016323596,0.039439116,0.33514944,0.31605533,0.01909411,0.056971926
147,0.30600715,0.2898621,0.01614505,0.05276037,0.27848503,0.26435345,0.014131576,0.05074447
816,0.52322423,0.50709707,0.01612717,0.030822672,0.46390036,0.44014907,0.023751289,0.051199116
125,0.27883083,0.26292357,0.015907258,0.057049852,0.25112316,0.2382672,0.012855962,0.051193852
443,0.30168205,0.28631178,0.01537028,0.050948605,0.22933134,0.21958302,0.009748325,0.0425076
479,0.28006706,0.26527408,0.014792979,0.052819416,0.21460524,0.20544226,0.009162977,0.042696893
210,0.29306927,0.27832448,0.014744788,0.050311614,0.21374156,0.20517811,0.008563444,0.04006448
910,0.45090216,0.43641165,0.014490515,0.032136716,0.35750553,0.33635664,0.02114889,0.05915682
545,0.30815,0.29372764,0.014422357,0.046803042,0.23327097,0.22262032,0.01065065,0.045657843
251,0.27323377,0.25908005,0.014153719,0.05180077,0.23269542,0.21985523,0.012840182,0.055180207
570,0.29175952,0.2776935,0.014066011,0.048210975,0.26403055,0.25547364,0.008556902,0.03240876
494,0.2918998,0.27789697,0.01400283,0.047971357,0.28243658,0.27161977,0.0108168125,0.0382982
649,0.43347389,0.4194826,0.013991296,0.032277137,0.37893587,0.36119047,0.017745405,0.046829574
293,0.6422422,0.62830085,0.013941348,0.021707306,0.68680054,0.66458446,0.022216082,0.03234721
578,0.2863822,0.272578,0.013804197,0.048202008,0.27980193,0.27000922,0.009792715,0.03499874
362,0.29855174,0.28478625,0.013765484,0.046107534,0.28679758,0.27411255,0.012685031,0.04422991
75,0.6597553,0.64650226,0.013253033,0.0200878,0.657879,0.64025617,0.017622828,0.02678734
965,0.3068616,0.2941166,0.012745023,0.041533455,0.256623,0.24533156,0.011291444,0.044000126
964,0.526909,0.5142109,0.012698114,0.024099255,0.4855468,0.46324542,0.022301376,0.045930434
17,0.28279105,0.2701401,0.012650937,0.044735987,0.25346312,0.24430212,0.0091609955,0.036143307
928,0.35985753,0.34731513,0.012542397,0.034853786,0.27761957,0.26336664,0.014252931,0.05133979
835,0.3207373,0.3084305,0.012306809,0.03837037,0.28558406,0.272855,0.012729049,0.044571985
504,0.47091386,0.4587269,0.0121869445,0.02587935,0.38648745,0.37037078,0.016116679,0.041700393
691,0.27221352,0.26025963,0.01195389,0.043913655,0.23668095,0.22587217,0.010808781,0.045668148
956,0.28703523,0.27508253,0.011952698,0.04164192,0.26342535,0.2526716,0.010753751,0.040822763
782,0.72654563,0.71468604,0.011859596,0.016323263,0.8393454,0.8174006,0.02194482,0.026145162
64,0.59516245,0.5834851,0.011677325,0.0196204,0.5862932,0.5657938,0.020499408,0.03496443
457,0.3376374,0.3259619,0.011675507,0.03458002,0.2868303,0.27580348,0.0110268295,0.03844374
463,0.31761426,0.305979,0.011635244,0.036633253,0.26212046,0.25200057,0.010119885,0.038607765
328,0.3197904,0.30820137,0.0115890205,0.036239427,0.27551556,0.2624894,0.013026148,0.047279175
266,0.5301158,0.5185488,0.011566997,0.021819755,0.46735808,0.449765,0.017593086,0.037643697
907,0.4073157,0.3958017,0.011514008,0.028268019,0.33434254,0.31582123,0.018521309,0.055396207
442,0.4505028,0.4390063,0.011496514,0.025519295,0.38002172,0.36495113,0.015070587,0.039657176
363,0.29516506,0.28403604,0.011129022,0.0377044,0.25693038,0.24518692,0.011743456,0.045706764
