node_id,mae_baseline,mae_csp,mae_delta,mae_improve_rate,mse_baseline,mse_csp,mse_delta,mse_improve_rate
857,0.28909028,0.25749815,0.03159213,0.1092812,0.22843504,0.21475263,0.01368241,0.059896283
863,0.2882159,0.2580411,0.030174792,0.1046951,0.25670028,0.24235535,0.014344931,0.05588202
792,0.29598105,0.26615474,0.029826313,0.100771025,0.24447206,0.2315887,0.01288335,0.05269866
861,0.31549782,0.28860816,0.026889652,0.08522928,0.2931233,0.27554882,0.01757449,0.05995596
787,0.30639988,0.28238466,0.024015218,0.07837868,0.26161206,0.24725746,0.0143546015,0.0548698
605,0.2921532,0.269942,0.022211224,0.07602595,0.2488425,0.23676893,0.012073562,0.04851889
432,0.30088195,0.2788921,0.021989852,0.07308465,0.21797018,0.20474146,0.0132287145,0.060690477
927,0.27534348,0.25351062,0.021832854,0.079293154,0.22367258,0.21265958,0.011013001,0.049237154
757,0.2887622,0.26808816,0.02067405,0.071595415,0.22911823,0.22013353,0.0089847,0.039214253
786,0.3069521,0.2873335,0.0196186,0.06391421,0.2507062,0.23655973,0.014146462,0.056426454
93,0.28232187,0.26271075,0.01961112,0.06946369,0.22847626,0.21661149,0.0118647665,0.051929977
824,0.29330537,0.27392197,0.0193834,0.066086076,0.25991568,0.24662566,0.013290018,0.051132035
501,0.2791702,0.26057225,0.01859793,0.066618614,0.22266412,0.21303667,0.0096274465,0.04323753
831,0.2783062,0.2597174,0.018588781,0.066792555,0.27671084,0.2632013,0.013509542,0.048821874
987,0.29118502,0.273507,0.017678022,0.060710616,0.23812933,0.22746472,0.010664612,0.04478496
153,0.3310724,0.31352836,0.017544031,0.052991524,0.28620252,0.27234036,0.013862163,0.048434805
428,0.411045,0.39389622,0.017148793,0.041719988,0.3287851,0.31352782,0.015257269,0.04640499
933,0.27752548,0.2604087,0.017116785,0.061676443,0.26355273,0.24994378,0.013608947,0.05163653
849,0.31551597,0.29855826,0.0169577,0.053745933,0.2510846,0.23814502,0.012939572,0.051534712
482,0.28878322,0.27228397,0.016499251,0.05713369,0.25652337,0.24513528,0.011388093,0.04439398
