node_id,mae_baseline,mae_csp,mae_delta,mae_improve_rate,mse_baseline,mse_csp,mse_delta,mse_improve_rate
923,0.81340796,0.81734824,-0.0039402843,-0.0048441673,1.0123057,1.0161713,-0.0038655996,-0.0038186088
308,0.8190299,0.82304835,-0.004018426,-0.0049063237,1.0133508,1.0255002,-0.012149334,-0.011989268
325,0.8041264,0.8084077,-0.004281342,-0.005324215,1.0345944,1.0468779,-0.012283444,-0.011872714
384,0.78214306,0.7865418,-0.004398763,-0.005623988,0.95897067,0.97297275,-0.014002085,-0.014601161
711,0.87467825,0.879081,-0.0044027567,-0.0050335727,1.2162033,1.2246118,-0.008408427,-0.006913669
543,0.76984835,0.77453405,-0.0046857,-0.006086523,0.9359968,0.95001715,-0.014020383,-0.014979093
361,0.79231125,0.7970707,-0.004759431,-0.0060070218,0.9818185,0.9953445,-0.013526022,-0.0137765
978,0.8194818,0.82435614,-0.0048743486,-0.0059480867,1.0607138,1.0703672,-0.009653449,-0.009100899
304,0.837757,0.8426459,-0.004888892,-0.0058356924,1.130284,1.1453719,-0.015087962,-0.013348824
593,0.78751016,0.792517,-0.0050068498,-0.0063578226,0.9913338,0.99972486,-0.008391082,-0.008464437
113,0.83878297,0.84407127,-0.005288303,-0.0063047335,1.0920206,1.1009415,-0.008920908,-0.008169175
626,0.77771395,0.7830178,-0.0053038597,-0.006819808,0.95975846,0.9738224,-0.014063954,-0.014653639
823,0.83059317,0.83590794,-0.0053147674,-0.006398761,1.0840068,1.098712,-0.014705181,-0.01356558
450,0.79072773,0.79661536,-0.0058876276,-0.007445834,0.96611977,0.9810395,-0.014919758,-0.015442969
96,0.79067576,0.7967912,-0.0061154366,-0.007734443,1.0270566,1.0428193,-0.015762687,-0.015347438
27,0.7727458,0.77914023,-0.006394446,-0.008274967,0.9730945,0.98294365,-0.009849131,-0.010121454
732,0.29417253,0.30090773,-0.0067352057,-0.022895427,0.21444711,0.21190631,0.002540797,0.011848128
808,0.8195139,0.82641214,-0.0068982244,-0.008417458,1.0577245,1.0726254,-0.014900923,-0.014087717
673,0.7812353,0.7886905,-0.0074552298,-0.009542874,0.9709956,0.98557675,-0.014581144,-0.015016694
976,0.7385628,0.7474996,-0.008936763,-0.012100207,0.86648756,0.88891107,-0.022423506,-0.025878623
